date,price
1718-01-01,4.31
1719-01-01,4.26
1720-01-01,4.31
1721-01-01,4.26
1722-01-01,4.25
1723-01-01,4.26
1724-01-01,4.25
1725-01-01,4.25
1726-01-01,4.25
1727-01-01,4.25
1728-01-01,4.28
1729-01-01,4.3
1730-01-01,4.29
1731-01-01,4.26
1732-01-01,4.26
1733-01-01,4.27
1734-01-01,4.26
1735-01-01,4.28
1736-01-01,4.26
1737-01-01,4.26
1738-01-01,4.26
1739-01-01,4.25
1740-01-01,4.25
1741-01-01,4.27
1742-01-01,4.28
1743-01-01,4.3
1744-01-01,4.31
1745-01-01,4.29
1746-01-01,4.25
1747-01-01,4.28
1748-01-01,4.26
1749-01-01,4.25
1750-01-01,4.26
1751-01-01,4.25
1752-01-01,4.26
1753-01-01,4.27
1754-01-01,4.25
1755-01-01,4.25
1756-01-01,4.25
1757-01-01,4.25
1758-01-01,4.3
1759-01-01,4.33
1760-01-01,4.3
1761-01-01,4.35
1762-01-01,4.32
1763-01-01,4.37
1764-01-01,4.26
1765-01-01,4.26
1766-01-01,4.31
1767-01-01,4.34
1768-01-01,4.32
1769-01-01,4.38
1770-01-01,4.37
1771-01-01,4.35
1772-01-01,4.35
1773-01-01,4.25
1774-01-01,4.24
1775-01-01,4.23
1776-01-01,4.23
1777-01-01,4.23
1778-01-01,4.23
1779-01-01,4.23
1780-01-01,4.23
1781-01-01,4.23
1782-01-01,4.23
1783-01-01,4.25
1784-01-01,4.25
1785-01-01,4.24
1786-01-01,4.23
1787-01-01,4.23
1788-01-01,4.23
1789-01-01,4.23
1790-01-01,4.23
1791-01-01,4.23
1792-01-01,4.23
1793-01-01,4.23
1794-01-01,4.23
1795-01-01,4.23
1796-01-01,4.23
1797-01-01,4.23
1798-01-01,4.25
1799-01-01,4.24
1800-01-01,4.26
1801-01-01,4.29
1802-01-01,4.31
1803-01-01,4.34
1804-01-01,4.36
1805-01-01,4.36
1806-01-01,4.42
1807-01-01,4.47
1808-01-01,4.52
1809-01-01,4.58
1810-01-01,4.63
1811-01-01,5.19
1812-01-01,5.48
1813-01-01,5.76
1814-01-01,5.21
1815-01-01,4.99
1816-01-01,4.36
1817-01-01,4.33
1818-01-01,4.44
1819-01-01,4.36
1820-01-01,4.25
1821-01-01,4.25
1822-01-01,4.24
1823-01-01,4.23
1824-01-01,4.23
1825-01-01,4.24
1826-01-01,4.23
1827-01-01,4.23
1828-01-01,4.23
1829-01-01,4.24
1830-01-01,4.24
1831-01-01,4.25
1832-01-01,4.24
1833-01-01,4.24
1834-01-01,4.24
1835-01-01,4.24
1836-01-01,4.24
1837-01-01,4.24
1838-01-01,4.24
1839-01-01,4.25
1840-01-01,4.24
1841-01-01,4.24
1842-01-01,4.24
1843-01-01,4.24
1844-01-01,4.24
1845-01-01,4.24
1846-01-01,4.24
1847-01-01,4.24
1848-01-01,4.24
1849-01-01,4.24
1850-01-01,4.24
1851-01-01,4.24
1852-01-01,4.24
1853-01-01,4.24
1854-01-01,4.24
1855-01-01,4.24
1856-01-01,4.24
1857-01-01,4.24
1858-01-01,4.24
1859-01-01,4.24
1860-01-01,4.24
1861-01-01,4.24
1862-01-01,4.24
1863-01-01,4.24
1864-01-01,4.24
1865-01-01,4.24
1866-01-01,4.24
1867-01-01,4.24
1868-01-01,4.24
1869-01-01,4.24
1870-01-01,4.24
1871-01-01,4.24
1872-01-01,4.24
1873-01-01,4.24
1874-01-01,4.24
1875-01-01,4.24
1876-01-01,4.24
1877-01-01,4.24
1878-01-01,4.24
1879-01-01,4.24
1880-01-01,4.24
1881-01-01,4.24
1882-01-01,4.24
1883-01-01,4.24
1884-01-01,4.24
1885-01-01,4.24
1886-01-01,4.24
1887-01-01,4.24
1888-01-01,4.24
1889-01-01,4.24
1890-01-01,4.24
1891-01-01,4.25
1892-01-01,4.25
1893-01-01,4.25
1894-01-01,4.24
1895-01-01,4.24
1896-01-01,4.25
1897-01-01,4.25
1898-01-01,4.25
1899-01-01,4.24
1900-01-01,4.25
1901-01-01,4.25
1902-01-01,4.24
1903-01-01,4.25
1904-01-01,4.25
1905-01-01,4.24
1906-01-01,4.25
1907-01-01,4.25
1908-01-01,4.25
1909-01-01,4.24
1910-01-01,4.24
1911-01-01,4.24
1912-01-01,4.24
1913-01-01,4.24
1914-01-01,4.24
1915-01-01,4.24
1916-01-01,4.24
1917-01-01,4.24
1918-01-01,4.24
1919-01-01,4.5
1920-01-01,5.65
1921-01-01,5.35
1922-01-01,4.67
1923-01-01,4.51
1924-01-01,4.69
1925-01-01,4.27
1926-01-01,4.25
1927-01-01,4.25
1928-01-01,4.25
1929-01-01,4.25
1930-01-01,4.25
1931-01-01,4.63
1932-01-01,5.9
1933-01-01,6.24
1934-01-01,6.88
1935-01-01,7.11
1936-01-01,7.01
1937-01-01,7.04
1938-01-01,7.13
1939-01-01,7.72
1940-01-01,8.4
1941-01-01,8.4
1942-01-01,8.4
1943-01-01,8.4
1944-01-01,8.4
1945-01-01,8.4
1946-01-01,8.4
1947-01-01,8.4
1948-01-01,8.4
1949-01-01,8.4
1950-01-01,34.71
1951-01-01,34.71
1952-01-01,34.71
1953-01-01,34.71
1954-01-01,34.96
1955-01-01,35.01
1956-01-01,35.0
1957-01-01,34.95
1958-01-01,35.1
1959-01-01,35.09
1960-01-01,35.28
1961-01-01,35.15
1962-01-01,35.1
1963-01-01,35.09
1964-01-01,35.09
1965-01-01,35.13
1966-01-01,35.17
1967-01-01,35.19
1968-01-01,38.69
1969-01-01,41.09
1970-01-01,35.94
1971-01-01,40.8
1972-01-01,58.16
1973-01-01,97.32
1974-01-01,159.26
1975-01-01,161.02
1976-01-01,124.84
1977-01-01,147.71
1978-01-01,193.22
1979-01-01,306.68
1980-01-01,612.56
1981-01-01,460.03
1982-01-01,375.67
1983-01-01,424.35
1984-01-01,360.48
1985-01-01,317.28
1986-01-01,367.51
1987-01-01,446.47
1988-01-01,437.05
1989-01-01,381.43
1990-01-01,383.47
1991-01-01,362.18
1992-01-01,343.73
1993-01-01,359.77
1994-01-01,384.01
1995-01-01,384.16
1996-01-01,387.69
1997-01-01,331.1
1998-01-01,294.16
1999-01-01,278.64
2000-01-01,279.03
2001-01-01,271.04
2002-01-01,309.68
2003-01-01,363.32
2004-01-01,409.17
2005-01-01,444.45
2006-01-01,603.77
2007-01-01,695.39
2008-01-01,871.96
2009-01-01,972.35
2010-01-01,1224.53
2011-01-01,1571.52
2012-01-01,1668.98
2013-01-01,1411.23
2014-01-01,1266.4
2015-01-01,1160.06
2016-01-01,1250.74
2017-01-01,1257.12
2018-01-01,1268.92
2019-01-01,1393.34
2020-01-01,1771.54
2021-01-01,1799.18
2022-01-01,1801.0
2023-01-01,1941.19
2024-01-01,2408.85
