date,price,currency
1718-01-01,4.31,GBP
1719-01-01,4.26,GBP
1720-01-01,4.31,GBP
1721-01-01,4.26,GBP
1722-01-01,4.25,GBP
1723-01-01,4.26,GBP
1724-01-01,4.25,GBP
1725-01-01,4.25,GBP
1726-01-01,4.25,GBP
1727-01-01,4.25,GBP
1728-01-01,4.28,GBP
1729-01-01,4.3,GBP
1730-01-01,4.29,GBP
1731-01-01,4.26,GBP
1732-01-01,4.26,GBP
1733-01-01,4.27,GBP
1734-01-01,4.26,GBP
1735-01-01,4.28,GBP
1736-01-01,4.26,GBP
1737-01-01,4.26,GBP
1738-01-01,4.26,GBP
1739-01-01,4.25,GBP
1740-01-01,4.25,GBP
1741-01-01,4.27,GBP
1742-01-01,4.28,GBP
1743-01-01,4.3,GBP
1744-01-01,4.31,GBP
1745-01-01,4.29,GBP
1746-01-01,4.25,GBP
1747-01-01,4.28,GBP
1748-01-01,4.26,GBP
1749-01-01,4.25,GBP
1750-01-01,4.26,GBP
1751-01-01,4.25,GBP
1752-01-01,4.26,GBP
1753-01-01,4.27,GBP
1754-01-01,4.25,GBP
1755-01-01,4.25,GBP
1756-01-01,4.25,GBP
1757-01-01,4.25,GBP
1758-01-01,4.3,GBP
1759-01-01,4.33,GBP
1760-01-01,4.3,GBP
1761-01-01,4.35,GBP
1762-01-01,4.32,GBP
1763-01-01,4.37,GBP
1764-01-01,4.26,GBP
1765-01-01,4.26,GBP
1766-01-01,4.31,GBP
1767-01-01,4.34,GBP
1768-01-01,4.32,GBP
1769-01-01,4.38,GBP
1770-01-01,4.37,GBP
1771-01-01,4.35,GBP
1772-01-01,4.35,GBP
1773-01-01,4.25,GBP
1774-01-01,4.24,GBP
1775-01-01,4.23,GBP
1776-01-01,4.23,GBP
1777-01-01,4.23,GBP
1778-01-01,4.23,GBP
1779-01-01,4.23,GBP
1780-01-01,4.23,GBP
1781-01-01,4.23,GBP
1782-01-01,4.23,GBP
1783-01-01,4.25,GBP
1784-01-01,4.25,GBP
1785-01-01,4.24,GBP
1786-01-01,4.23,GBP
1787-01-01,4.23,GBP
1788-01-01,4.23,GBP
1789-01-01,4.23,GBP
1790-01-01,4.23,GBP
1791-01-01,4.23,GBP
1792-01-01,4.23,GBP
1793-01-01,4.23,GBP
1794-01-01,4.23,GBP
1795-01-01,4.23,GBP
1796-01-01,4.23,GBP
1797-01-01,4.23,GBP
1798-01-01,4.25,GBP
1799-01-01,4.24,GBP
1800-01-01,4.26,GBP
1801-01-01,4.29,GBP
1802-01-01,4.31,GBP
1803-01-01,4.34,GBP
1804-01-01,4.36,GBP
1805-01-01,4.36,GBP
1806-01-01,4.42,GBP
1807-01-01,4.47,GBP
1808-01-01,4.52,GBP
1809-01-01,4.58,GBP
1810-01-01,4.63,GBP
1811-01-01,5.19,GBP
1812-01-01,5.48,GBP
1813-01-01,5.76,GBP
1814-01-01,5.21,GBP
1815-01-01,4.99,GBP
1816-01-01,4.36,GBP
1817-01-01,4.33,GBP
1818-01-01,4.44,GBP
1819-01-01,4.36,GBP
1820-01-01,4.25,GBP
1821-01-01,4.25,GBP
1822-01-01,4.24,GBP
1823-01-01,4.23,GBP
1824-01-01,4.23,GBP
1825-01-01,4.24,GBP
1826-01-01,4.23,GBP
1827-01-01,4.23,GBP
1828-01-01,4.23,GBP
1829-01-01,4.24,GBP
1830-01-01,4.24,GBP
1831-01-01,4.25,GBP
1832-01-01,4.24,GBP
1833-01-01,4.24,GBP
1834-01-01,4.24,GBP
1835-01-01,4.24,GBP
1836-01-01,4.24,GBP
1837-01-01,4.24,GBP
1838-01-01,4.24,GBP
1839-01-01,4.25,GBP
1840-01-01,4.24,GBP
1841-01-01,4.24,GBP
1842-01-01,4.24,GBP
1843-01-01,4.24,GBP
1844-01-01,4.24,GBP
1845-01-01,4.24,GBP
1846-01-01,4.24,GBP
1847-01-01,4.24,GBP
1848-01-01,4.24,GBP
1849-01-01,4.24,GBP
1850-01-01,4.24,GBP
1851-01-01,4.24,GBP
1852-01-01,4.24,GBP
1853-01-01,4.24,GBP
1854-01-01,4.24,GBP
1855-01-01,4.24,GBP
1856-01-01,4.24,GBP
1857-01-01,4.24,GBP
1858-01-01,4.24,GBP
1859-01-01,4.24,GBP
1860-01-01,4.24,GBP
1861-01-01,4.24,GBP
1862-01-01,4.24,GBP
1863-01-01,4.24,GBP
1864-01-01,4.24,GBP
1865-01-01,4.24,GBP
1866-01-01,4.24,GBP
1867-01-01,4.24,GBP
1868-01-01,4.24,GBP
1869-01-01,4.24,GBP
1870-01-01,4.24,GBP
1871-01-01,4.24,GBP
1872-01-01,4.24,GBP
1873-01-01,4.24,GBP
1874-01-01,4.24,GBP
1875-01-01,4.24,GBP
1876-01-01,4.24,GBP
1877-01-01,4.24,GBP
1878-01-01,4.24,GBP
1879-01-01,4.24,GBP
1880-01-01,4.24,GBP
1881-01-01,4.24,GBP
1882-01-01,4.24,GBP
1883-01-01,4.24,GBP
1884-01-01,4.24,GBP
1885-01-01,4.24,GBP
1886-01-01,4.24,GBP
1887-01-01,4.24,GBP
1888-01-01,4.24,GBP
1889-01-01,4.24,GBP
1890-01-01,4.24,GBP
1891-01-01,4.25,GBP
1892-01-01,4.25,GBP
1893-01-01,4.25,GBP
1894-01-01,4.24,GBP
1895-01-01,4.24,GBP
1896-01-01,4.25,GBP
1897-01-01,4.25,GBP
1898-01-01,4.25,GBP
1899-01-01,4.24,GBP
1900-01-01,4.25,GBP
1901-01-01,4.25,GBP
1902-01-01,4.24,GBP
1903-01-01,4.25,GBP
1904-01-01,4.25,GBP
1905-01-01,4.24,GBP
1906-01-01,4.25,GBP
1907-01-01,4.25,GBP
1908-01-01,4.25,GBP
1909-01-01,4.24,GBP
1910-01-01,4.24,GBP
1911-01-01,4.24,GBP
1912-01-01,4.24,GBP
1913-01-01,4.24,GBP
1914-01-01,4.24,GBP
1915-01-01,4.24,GBP
1916-01-01,4.24,GBP
1917-01-01,4.24,GBP
1918-01-01,4.24,GBP
1919-01-01,4.5,GBP
1920-01-01,5.65,GBP
1921-01-01,5.35,GBP
1922-01-01,4.67,GBP
1923-01-01,4.51,GBP
1924-01-01,4.69,GBP
1925-01-01,4.27,GBP
1926-01-01,4.25,GBP
1927-01-01,4.25,GBP
1928-01-01,4.25,GBP
1929-01-01,4.25,GBP
1930-01-01,4.25,GBP
1931-01-01,4.63,GBP
1932-01-01,5.9,GBP
1933-01-01,6.24,GBP
1934-01-01,6.88,GBP
1935-01-01,7.11,GBP
1936-01-01,7.01,GBP
1937-01-01,7.04,GBP
1938-01-01,7.13,GBP
1939-01-01,7.72,GBP
1940-01-01,8.4,GBP
1941-01-01,8.4,GBP
1942-01-01,8.4,GBP
1943-01-01,8.4,GBP
1944-01-01,8.4,GBP
1945-01-01,8.4,GBP
1946-01-01,8.4,GBP
1947-01-01,8.4,GBP
1948-01-01,8.4,GBP
1949-01-01,8.4,GBP
1950-01-01,34.71,USD
1951-01-01,34.71,USD
1952-01-01,34.71,USD
1953-01-01,34.71,USD
1954-01-01,34.96,USD
1955-01-01,35.01,USD
1956-01-01,35.0,USD
1957-01-01,34.95,USD
1958-01-01,35.1,USD
1959-01-01,35.09,USD
1960-01-01,35.28,USD
1961-01-01,35.15,USD
1962-01-01,35.1,USD
1963-01-01,35.09,USD
1964-01-01,35.09,USD
1965-01-01,35.13,USD
1966-01-01,35.17,USD
1967-01-01,35.19,USD
1968-01-01,38.69,USD
1969-01-01,41.09,USD
1970-01-01,35.94,USD
1971-01-01,40.8,USD
1972-01-01,58.16,USD
1973-01-01,97.32,USD
1974-01-01,159.26,USD
1975-01-01,161.02,USD
1976-01-01,124.84,USD
1977-01-01,147.71,USD
1978-01-01,193.22,USD
1979-01-01,306.68,USD
1980-01-01,612.56,USD
1981-01-01,460.03,USD
1982-01-01,375.67,USD
1983-01-01,424.35,USD
1984-01-01,360.48,USD
1985-01-01,317.28,USD
1986-01-01,367.51,USD
1987-01-01,446.47,USD
1988-01-01,437.05,USD
1989-01-01,381.43,USD
1990-01-01,383.47,USD
1991-01-01,362.18,USD
1992-01-01,343.73,USD
1993-01-01,359.77,USD
1994-01-01,384.01,USD
1995-01-01,384.16,USD
1996-01-01,387.69,USD
1997-01-01,331.1,USD
1998-01-01,294.16,USD
1999-01-01,278.64,USD
2000-01-01,279.03,USD
2001-01-01,271.04,USD
2002-01-01,309.68,USD
2003-01-01,363.32,USD
2004-01-01,409.17,USD
2005-01-01,444.45,USD
2006-01-01,603.77,USD
2007-01-01,695.39,USD
2008-01-01,871.96,USD
2009-01-01,972.35,USD
2010-01-01,1224.53,USD
2011-01-01,1571.52,USD
2012-01-01,1668.98,USD
2013-01-01,1411.23,USD
2014-01-01,1266.4,USD
2015-01-01,1160.06,USD
2016-01-01,1250.74,USD
2017-01-01,1257.12,USD
2018-01-01,1268.92,USD
2019-01-01,1393.34,USD
2020-01-01,1771.54,USD
2021-01-01,1799.18,USD
2022-01-01,1801.0,USD
2023-01-01,1941.19,USD
2024-01-01,2408.85,USD
